                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59062,                0.59091,                      1,                0.70578,             0.00011424,             0.00011424,             0.00011424
                      2,                0.56308,                0.59091,                      1,                0.68097,             0.00021229,             0.00021229,             0.00021229
                      3,                0.51678,                0.59091,                      1,                0.61533,             0.00028631,             0.00028631,             0.00028631
                      4,                0.49522,                0.59091,                      1,                0.59877,              0.0003363,              0.0003363,              0.0003363
                      5,                 0.4495,                0.72727,                      1,                0.56464,             0.00036226,             0.00036226,             0.00036226
                      6,                0.40935,                0.77273,                      1,                0.60829,             0.00036057,             0.00036057,             0.00036057
                      7,                0.37427,                0.86364,                      1,                0.57738,             0.00028988,             0.00028988,             0.00028988
                      8,                0.37301,                0.86364,                      1,                0.57652,              0.0002192,              0.0002192,              0.0002192
                      9,                0.33916,                0.90909,                      1,                0.57937,             0.00014851,             0.00014851,             0.00014851
                     10,                0.32805,                0.90909,                      1,                0.56435,             7.7826e-05,             7.7826e-05,             7.7826e-05
